"TIME"	"CONFIRMED"	"RECOVERED"	"DEATHS"	"ACTIVE"	"CONFIRMED.spb"	"HOSPITALIZED.today"	"PCR.tested"	"Yandex.ACTIVITY.points"
2020-03-02	0	0	0	0	NA	NA	NA	97
2020-03-03	0	0	0	0	NA	NA	NA	100
2020-03-04	1	0	0	1	NA	NA	NA	99
2020-03-05	0	0	0	1	NA	NA	NA	99
2020-03-06	1	0	0	2	NA	NA	NA	100
2020-03-07	0	0	0	2	NA	NA	NA	55
2020-03-08	0	0	0	2	NA	NA	NA	43
2020-03-09	0	0	0	2	NA	NA	NA	43
2020-03-10	0	0	0	2	NA	NA	NA	99
2020-03-11	0	0	0	2	NA	NA	NA	99
2020-03-12	3	0	0	5	NA	NA	NA	98
2020-03-13	1	0	0	6	NA	NA	NA	96
2020-03-14	0	0	0	6	NA	NA	NA	53
2020-03-15	3	2	0	7	NA	NA	NA	38
2020-03-16	0	0	0	7	NA	NA	NA	92
2020-03-17	0	0	0	7	NA	NA	NA	93
2020-03-18	1	0	0	8	NA	NA	NA	87
2020-03-19	4	0	0	12	NA	NA	NA	85
2020-03-20	2	0	0	14	NA	NA	NA	84
2020-03-21	0	0	0	14	NA	NA	NA	43
2020-03-22	0	0	0	14	NA	NA	NA	32
2020-03-23	5	0	0	19	NA	NA	NA	81
2020-03-24	0	0	0	19	NA	NA	NA	81
2020-03-25	5	3	0	21	NA	NA	NA	81
2020-03-26	0	0	0	21	NA	NA	NA	79
2020-03-27	11	0	0	32	NA	NA	NA	80
2020-03-28	5	0	1	36	NA	NA	NA	26
2020-03-29	8	0	0	44	NA	NA	NA	9
2020-03-30	48	2	1	89	NA	NA	NA	26
2020-03-31	27	0	0	116	NA	NA	NA	19
2020-04-01	22	0	0	138	NA	NA	NA	13
2020-04-02	9	0	0	147	NA	17	NA	12
2020-04-03	15	0	0	162	NA	31	NA	15
2020-04-04	20	0	0	182	NA	19	NA	4
2020-04-05	35	25	0	192	NA	17	2263	0
2020-04-06	69	0	0	261	NA	13	3241	28
2020-04-07	34	0	0	295	NA	8	6957	32
2020-04-08	44	11	2	326	NA	39	3279	32
2020-04-09	35	0	0	361	NA	88	8811	30
2020-04-10	80	31	0	410	NA	95	6736	33
2020-04-11	69	0	0	479	NA	701	7554	13
2020-04-12	121	4	0	596	NA	372	5589	3
2020-04-13	121	0	0	717	NA	84	1821	34
2020-04-14	130	17	1	829	NA	279	4703	34
2020-04-15	154	15	2	966	NA	1129	3844	35
2020-04-16	424	21	0	1369	NA	396	7900	34
2020-04-17	139	101	1	1406	NA	371	9413	35
2020-04-18	114	7	0	1513	NA	176	8763	12
2020-04-19	86	2	0	1597	NA	237	9222	4
2020-04-20	127	39	3	1682	NA	494	4768	35
2020-04-21	294	47	3	1926	NA	517	7209	38
2020-04-22	191	41	3	2073	NA	323	7471	38
2020-04-23	253	43	3	2280	NA	616	8196	38
2020-04-24	215	49	3	2443	NA	385	8778	38
2020-04-25	151	29	4	2561	NA	522	9335	19
2020-04-26	161	0	0	2722	NA	NA	8410	10
2020-04-27	198	55	0	2865	NA	446	5821	41
2020-04-28	290	164	2	2989	NA	385	5000	42
2020-04-29	336	71	0	3254	NA	374	10863	41
2020-04-30	349	0	4	3599	NA	344	12213	46
2020-05-01	323	98	0	3824	NA	580	7362	23
2020-05-02	295	184	1	3934	NA	113	7737	24
2020-05-03	317	136	3	4112	NA	1038	5379	13
2020-05-04	226	271	0	4067	NA	297	3104	26
2020-05-05	312	64	3	4312	NA	759	5241	29
2020-05-06	306	20	4	4594	NA	544	4594	49
2020-05-07	375	45	4	4920	NA	772	7241	46
2020-05-08	425	65	5	5275	NA	564	11324	48
2020-05-09	414	12	0	5677	NA	694	12562	22
2020-05-10	307	7	3	5974	NA	580	9182	23
2020-05-11	339	103	2	6208	NA	578	2847	27
2020-05-12	435	64	5	6574	NA	1056	7572	51
2020-05-13	460	51	6	6977	NA	543	9146	53
2020-05-14	541	106	5	7407	NA	711	10613	52
2020-05-15	525	104	6	7822	NA	581	11728	52
2020-05-16	451	66	5	8202	NA	196	13827	26
2020-05-17	425	34	5	8588	NA	903	8200	20
2020-05-18	453	63	5	8973	NA	616	2792	53
2020-05-19	455	208	4	9216	NA	772	13330	57
2020-05-20	408	181	5	9438	NA	1140	11351	56
2020-05-21	389	198	3	9626	NA	366	13766	53
2020-05-22	363	265	6	9718	NA	878	14407	58
2020-05-23	384	328	20	9754	NA	696	14608	36
2020-05-24	374	138	5	9985	NA	545	10365	29
2020-05-25	363	154	12	10182	NA	701	3312	64
2020-05-26	387	714	8	9847	NA	754	11036	67
2020-05-27	383	325	9	9896	NA	190	12692	67
2020-05-28	369	330	11	9924	NA	769	14293	64
2020-05-29	365	260	13	10016	NA	919	14648	67
2020-05-30	369	307	13	10065	NA	744	13972	41
2020-05-31	364	68	9	10352	NA	565	10124	28
2020-06-01	376	260	10	10458	NA	744	4663	69
2020-06-02	380	323	17	10498	NA	674	11352	72
2020-06-03	375	364	24	10485	NA	775	13336	71
2020-06-04	378	381	27	10455	NA	655	15311	66
2020-06-05	347	386	55	10361	NA	785	22397	69
2020-06-06	340	297	31	10373	NA	599	22479	38
2020-06-07	326	156	15	10528	NA	454	18850	37
2020-06-08	318	186	41	10619	NA	1029	12175	74
2020-06-09	313	420	49	10463	NA	718	18802	76
2020-06-10	303	343	38	10385	NA	612	21585	76
2020-06-11	274	412	41	10206	NA	661	20592	75
2020-06-12	262	285	8	10175	NA	759	25793	49
2020-06-13	256	116	28	10287	NA	519	21042	47
2020-06-14	252	62	38	10439	NA	489	15405	41
2020-06-15	234	232	54	10387	NA	693	13502	81
2020-06-16	228	716	38	9861	NA	473	20284	81
2020-06-17	231	637	29	9426	NA	769	18545	82
2020-06-18	228	847	37	8770	NA	569	23137	83
2020-06-19	232	794	21	8187	NA	457	23428	82
2020-06-20	229	498	26	7892	NA	414	22900	52
2020-06-21	217	184	29	7896	NA	189	19974	42
2020-06-22	220	221	35	7860	NA	550	11637	84
2020-06-23	218	643	38	7397	NA	163	16675	87
2020-06-24	221	589	19	7010	NA	358	17513	55
2020-06-25	223	395	47	6791	NA	446	17364	87
2020-06-26	224	716	57	6242	NA	525	20875	87
2020-06-27	217	598	21	5840	NA	358	21201	58
2020-06-28	219	247	19	5793	NA	216	15911	43
2020-06-29	253	254	31	5761	NA	375	10975	89
2020-06-30	262	845	46	5132	NA	356	15857	85
2020-07-01	258	849	45	4496	NA	242	16966	52
2020-07-02	263	491	45	4223	NA	298	16426	87
2020-07-03	271	251	31	4212	NA	314	18221	89
2020-07-04	275	248	42	4197	NA	218	19532	56
2020-07-05	280	180	44	4253	NA	223	17036	36
2020-07-06	278	185	48	4298	NA	239	11047	88
2020-07-07	295	193	47	4353	NA	250	13857	91
2020-07-08	292	182	36	4427	NA	293	14737	89
2020-07-09	300	156	21	4550	NA	180	17801	90
2020-07-10	296	181	42	4623	NA	237	19586	90
2020-07-11	293	162	20	4734	NA	240	18709	50
2020-07-12	291	152	23	4850	NA	127	14856	46
2020-07-13	281	194	31	4906	NA	236	9621	89
2020-07-14	264	167	19	4984	NA	152	13195	92
2020-07-15	256	149	22	5069	NA	218	15676	91
2020-07-16	244	156	30	5127	NA	212	14581	91
2020-07-17	238	161	27	5177	NA	258	17019	93
2020-07-18	202	101	26	5252	NA	238	15719	65
2020-07-19	195	112	26	5309	NA	168	13272	51
2020-07-20	189	93	27	5378	NA	204	8646	91
2020-07-21	186	95	28	5441	NA	280	14391	93
2020-07-22	184	101	19	5505	NA	256	14962	86
2020-07-23	181	93	27	5566	NA	186	18348	89
2020-07-24	179	82	28	5635	NA	216	17016	91
2020-07-25	175	79	9	5722	NA	172	16894	52
2020-07-26	172	75	10	5809	NA	135	13211	56
2020-07-27	168	81	23	5873	NA	NA	9770	94
2020-07-28	165	75	23	5940	NA	205	10801	89
2020-07-29	162	93	22	5987	NA	219	12971	90
2020-07-30	159	78	20	6048	NA	194	15357	91
2020-07-31	161	96	9	6104	NA	225	17047	86
2020-08-01	163	86	4	6177	NA	153	19541	62
2020-08-02	160	75	6	6256	NA	125	14461	52
2020-08-03	158	85	22	6307	NA	233	9244	90
2020-08-04	156	37	18	6408	NA	214	9814	89
2020-08-05	159	84	16	6467	NA	224	14460	91
2020-08-06	157	93	18	6513	NA	205	18133	94
2020-08-07	155	83	10	6575	NA	242	18053	93
2020-08-08	160	33	3	6699	NA	124	17178	65
2020-08-09	157	45	7	6804	NA	77	13698	55
2020-08-10	157	78	20	6863	NA	246	8963	93
2020-08-11	161	93	12	6919	NA	208	12050	91
2020-08-12	160	96	15	6968	NA	186	14647	91
2020-08-13	159	72	22	7033	NA	226	17307	93
2020-08-14	162	76	20	7099	NA	225	17097	93
2020-08-15	163	53	10	7199	NA	161	19324	62
2020-08-16	159	69	2	7287	NA	131	15918	54
2020-08-17	157	83	19	7342	NA	186	8027	93
2020-08-18	162	86	17	7401	NA	181	13453	95
2020-08-19	160	83	15	7463	NA	240	16941	94
2020-08-20	181	101	6	7537	NA	164	20436	95
2020-08-21	183	110	18	7592	NA	201	20599	94
2020-08-22	180	63	10	7699	NA	115	20648	64
2020-08-23	182	65	0	7816	NA	109	15681	46
2020-08-24	179	89	15	7891	NA	182	10863	91
2020-08-25	181	75	18	7979	NA	217	15711	93
2020-08-26	184	65	17	8081	NA	173	18795	92
2020-08-27	187	86	9	8173	NA	172	21334	87
2020-08-28	189	95	15	8252	NA	138	21767	90
2020-08-29	186	68	5	8365	NA	128	21837	61
2020-08-30	188	96	0	8457	NA	84	18093	47
2020-08-31	185	86	19	8537	NA	215	10203	91
2020-09-01	189	106	21	8599	NA	205	16953	94
2020-09-02	191	112	22	8656	NA	201	19467	96
2020-09-03	193	101	20	8728	NA	180	21351	97
2020-09-04	195	96	19	8808	NA	245	22715	97
2020-09-05	192	75	10	8915	NA	160	22276	61
2020-09-06	196	65	0	9046	NA	129	17891	44
2020-09-07	210	123	20	9113	NA	237	12995	95
2020-09-08	218	111	22	9198	NA	243	15431	96
2020-09-09	215	112	16	9285	NA	200	18785	94
2020-09-10	216	105	17	9379	NA	231	23722	89
2020-09-11	203	105	23	9454	NA	233	23789	93
2020-09-12	206	104	20	9536	NA	185	23796	58
2020-09-13	199	100	0	9635	NA	157	18522	42
2020-09-14	206	104	26	9711	NA	180	11050	95
2020-09-15	207	105	25	9788	NA	269	17981	97
2020-09-16	211	107	24	9868	NA	257	23625	93
2020-09-17	206	104	19	9951	NA	213	24078	92
2020-09-18	212	107	18	10038	NA	281	23994	93
2020-09-19	214	108	15	10129	NA	207	24634	61
2020-09-20	209	105	0	10233	NA	176	19225	46
2020-09-21	211	106	25	10313	NA	287	12301	94
2020-09-22	208	105	15	10401	NA	299	18137	97
2020-09-23	215	110	22	10484	NA	262	23060	NA
2020-09-24	224	210	19	10479	NA	303	25701	99
2020-09-25	232	116	27	10568	NA	292	28252	99
2020-09-26	227	114	9	10672	NA	232	26201	68
2020-09-27	237	119	0	10790	NA	232	22048	53
2020-09-28	251	126	30	10885	NA	308	15646	96
2020-09-29	276	138	26	10997	NA	356	24390	97
2020-09-30	285	143	22	11117	NA	330	26652	97
2020-10-01	302	151	32	11236	NA	353	29205	97
2020-10-02	358	179	30	11385	NA	398	30687	95
2020-10-03	392	196	25	11556	NA	258	28781	59
2020-10-04	407	204	14	11745	NA	217	21004	40
2020-10-05	411	206	34	11916	NA	375	13686	92
2020-10-06	456	228	30	12114	NA	432	24161	92
2020-10-07	461	231	25	12319	NA	358	28993	92
2020-10-08	469	235	22	12531	NA	386	29488	92
2020-10-09	501	251	36	12745	NA	404	30236	93
2020-10-10	528	264	21	12988	NA	410	29670	60
2020-10-11	538	269	0	13257	NA	244	24153	39
2020-10-12	557	278	34	13502	NA	269	15216	88
2020-10-13	602	300	30	13774	NA	501	26931	90
2020-10-14	638	319	46	14047	NA	388	34287	91
2020-10-15	647	322	25	14347	NA	430	35207	91
2020-10-16	659	330	31	14645	NA	417	30944	90
2020-10-17	674	337	15	14967	NA	454	32736	54
2020-10-18	686	340	0	15313	NA	332	27633	35
2020-10-19	695	348	38	15622	NA	316	25742	86
2020-10-20	684	343	49	15914	NA	564	32259	88
2020-10-21	697	349	24	16238	NA	473	30195	87
2020-10-22	710	355	32	16561	NA	475	33986	84
2020-10-23	713	401	37	16836	NA	483	40898	85
2020-10-24	709	387	25	17133	NA	546	37748	51
2020-10-25	715	390	0	17458	NA	395	30074	37
2020-10-26	721	403	47	17729	NA	354	21663	81
2020-10-27	727	415	57	17984	NA	642	33424	82
2020-10-28	758	424	34	18284	NA	625	38326	81
2020-10-29	801	417	36	18632	NA	620	38424	81
2020-10-30	854	441	42	19003	NA	618	36176	80
2020-10-31	896	457	29	19413	NA	639	37870	50
2020-11-01	923	449	1	19886	NA	451	33949	38
2020-11-02	944	484	59	20287	NA	487	21507	77
2020-11-03	1031	527	66	20725	NA	707	30663	77
2020-11-04	1093	523	26	21269	NA	658	36323	42
2020-11-05	1171	563	54	21823	NA	682	34319	77
2020-11-06	1258	651	53	22377	NA	807	44536	78
2020-11-07	1331	605	31	23072	NA	806	40210	49
2020-11-08	1403	712	19	23744	NA	652	34233	36
2020-11-09	1485	751	62	24416	NA	556	25651	81
2020-11-10	1574	780	74	25136	NA	769	32887	84
2020-11-11	1667	839	68	25896	NA	790	34561	82
2020-11-12	1756	912	61	26679	NA	854	39930	82
2020-11-13	1852	943	64	27524	NA	840	40187	82
2020-11-14	1944	937	41	28490	NA	823	41645	46
2020-11-15	2039	1070	0	29459	NA	570	36069	33
2020-11-16	2130	1098	69	30422	NA	520	24718	79
2020-11-17	2215	1168	71	31398	NA	825	36097	80
2020-11-18	2312	1201	72	32437	NA	790	34144	77
2020-11-19	2394	1229	63	33539	NA	783	39789	79
2020-11-20	2476	1275	70	34670	NA	799	43237	80
2020-11-21	2668	1335	57	35946	NA	737	43103	45
2020-11-22	2926	1449	20	37403	NA	593	38023	30
2020-11-23	3179	1628	80	38874	NA	566	26468	79
2020-11-24	3421	1769	85	40441	NA	917	33683	80
2020-11-25	3669	1862	79	42169	NA	826	32994	80
2020-11-26	3687	1898	63	43895	NA	826	39785	78
2020-11-27	3695	1991	70	45529	NA	884	38407	80
