"TIME"	"CONFIRMED"	"RECOVERED"	"DEATHS"	"ACTIVE"	"CONFIRMED.spb"	"HOSPITALIZED.today"	"PCR.tested"	"v1.CS"	"v2.CS"	"Yandex.ACTIVITY.points"
2020-03-08	2	0	0	2	0	0	0	NA	NA	84.7142857142857
2020-03-15	7	2	0	7	0	0	0	NA	NA	75.1428571428571
2020-03-22	7	0	0	14	0	0	0	NA	NA	73.7142857142857
2020-03-29	34	3	1	44	0	0	0	NA	NA	62.4285714285714
2020-04-05	176	27	1	192	0	84	2263	NA	NA	12.7142857142857
2020-04-12	452	46	2	596	0	1316	42167	NA	NA	24.4285714285714
2020-04-19	1168	163	4	1597	0	2672	45666	NA	NA	26.8571428571429
2020-04-26	1392	248	19	2722	0	2857	54167	NA	NA	30.8571428571429
2020-05-03	2108	708	10	4112	0	3280	54375	NA	NA	32.8571428571429
2020-05-10	2365	484	19	5974	0	4210	53248	NA	NA	34.7142857142857
2020-05-17	3176	528	34	8588	0	4568	63933	NA	NA	40.1428571428571
2020-05-24	2826	1381	48	9985	0	5013	80619	NA	NA	48.8571428571429
2020-05-31	2600	2158	75	10352	0	4642	80077	NA	NA	56.8571428571429
2020-06-07	2522	2167	179	10528	0	4686	108388	NA	NA	60.2857142857143
2020-06-14	1978	1824	243	10439	0	4787	135394	NA	NA	62.5714285714286
2020-06-21	1599	3908	234	7896	0	3564	141770	NA	NA	71.8571428571429
2020-06-28	1542	3409	236	5793	0	2616	121176	NA	NA	71.5714285714286
2020-07-05	1862	3118	284	4253	0	2026	115013	NA	NA	70.5714285714286
2020-07-12	2045	1211	237	4850	0	1566	110593	NA	NA	77.7142857142857
2020-07-19	1680	1040	181	5309	0	1482	99083	NA	NA	81.7142857142857
2020-07-26	1266	618	148	5809	0	1449	103468	NA	NA	79.7142857142857
2020-08-02	1138	584	107	6256	0	1121	99948	NA	NA	80.5714285714286
2020-08-09	1102	460	94	6804	0	1319	100580	NA	NA	82.4285714285714
2020-08-16	1121	537	101	7287	0	1383	105306	NA	NA	82.4285714285714
2020-08-23	1205	591	85	7816	0	1196	115785	NA	NA	83
2020-08-30	1294	574	79	8457	0	1094	128400	NA	NA	80.1428571428571
2020-09-06	1341	641	111	9046	0	1335	130856	NA	NA	82.8571428571429
2020-09-13	1467	760	118	9635	0	1486	137040	NA	NA	81
2020-09-20	1465	740	127	10233	0	1583	144587	NA	NA	82.4285714285714
2020-09-27	1554	880	117	10790	0	1907	155700	NA	NA	85
2020-10-04	2271	1137	179	11745	0	2220	176365	NA	NA	83
2020-10-11	3364	1684	168	13257	0	2609	180387	NA	NA	80
2020-10-18	4463	2226	181	15313	0	2791	202954	NA	NA	77
2020-10-25	4923	2573	205	17458	0	3252	230902	NA	NA	74
2020-11-01	5680	3006	246	19886	0	3949	239832	NA	NA	70.4285714285714
2020-11-08	8231	4065	308	23744	0	4799	241791	NA	NA	62.2857142857143
2020-11-15	12317	6232	370	29459	0	5202	250930	NA	NA	70
2020-11-22	17121	8755	422	37403	0	5047	259111	NA	NA	67.1428571428571
2020-11-29	25043	12813	459	49174	0	5460	248229	NA	NA	67.5714285714286
2020-12-06	25987	14857	429	59875	0	5522	250237	NA	NA	66
2020-12-13	26363	14453	527	71258	21141	5791	266331	NA	NA	65.8571428571429
2020-12-20	26308	18391	529	78646	23564	6184	260693	1035	NA	66.5714285714286
2020-12-27	26280	19485	536	84905	23970	6162	254365	4898	NA	69.5714285714286
2021-01-03	26162	16495	551	94021	13961	5193	191982	7014	262	44
2021-01-10	22032	13307	416	102330	12758	5195	134342	15352	630	33.1428571428571
2021-01-17	21725	20014	482	103559	21063	4875	232575	24817	4537	63.1428571428571
2021-01-24	20945	21368	472	102664	17717	3784	182590	39441	6687	66.4285714285714
2021-01-31	14249	22088	412	94413	13664	3518	170226	72334	15027	68.7142857142857
2021-02-07	10408	17617	336	86868	13710	2884	148786	117586	24310	67
2021-02-14	7830	19827	390	74481	11021	2385	141693	168745	38340	67.7142857142857
2021-02-21	7411	18787	322	62783	10138	2670	136178	217384	68517	74
2021-02-28	6513	12267	278	56751	5603	2317	110715	253674	112254	56.4285714285714
2021-03-07	6767	16057	281	47180	7995	2437	140466	284395	155706	74.8571428571429
2021-03-14	6631	13638	308	39865	5819	2087	117489	311530	207568	64.1428571428571
2021-03-21	6327	7848	251	38093	5935	2176	138873	332322	243738	73.7142857142857
2021-03-28	5352	7641	245	35559	5799	2026	124441	368057	274342	74.5714285714286
2021-04-04	4987	6967	224	33355	4935	2112	126322	414934	301006	77.7142857142857
2021-04-11	4904	5421	214	32624	4976	2012	125270	463705	321232	79.2857142857143
2021-04-18	4924	5287	202	32059	4797	1874	126634	505902	355950	83.5714285714286
2021-04-25	4852	7510	245	29156	4929	1900	125566	544646	401427	81.2857142857143
2021-05-02	5035	6825	236	27130	5378	1861	128802	573057	443242	81.5714285714286
2021-05-09	5036	5840	234	26092	4632	2004	102300	592573	481963	58.7142857142857
2021-05-16	5210	7359	249	23694	6095	2547	145648	626822	526303	80.4285714285714
2021-05-23	5688	7083	276	22023	7492	2615	141985	659835	556163	86
2021-05-30	5856	7549	269	20061	8055	2764	151947	694264	576570	85.4285714285714
