"TIME"	"spb.deaths_stopkioronavirus.rf"	"spb.excessive_to_2019"	"spb.excessive_to_mean.5"
"2020-01-31"	0	-177	-368.2
"2020-02-29"	0	-35	10
"2020-03-31"	2	-21.01	-419.81
"2020-04-30"	27	114	194.2
"2020-05-31"	175	1568	1445
"2020-06-30"	932	2563	2322.8
"2020-07-31"	907	1061	1004.2
"2020-08-31"	378	422	359.004
"2020-09-30"	529	1114	889.002
"2020-10-31"	893	1403	1516.6
"2020-11-30"	1589	2164	2030.204
"2020-12-31"	2262	3405	3203.8
"2021-01-31"	2039	2779	2587.8
"2021-02-28"	1344	1170	1215
"2021-03-31"	1193	1484	1085.2
"2021-04-30"	944	723	803.2
