"DATE"	"TESTS"
2020-03-29	2263
2020-03-30	3241
2020-03-31	6957
2020-04-07	3279
2020-04-08	8811
2020-04-09	6736
2020-04-10	7554
2020-04-11	5589
2020-04-12	1821
2020-04-13	4703
2020-04-14	3844
2020-04-15	7900
2020-04-16	9413
2020-04-17	8763
2020-04-18	9222
2020-04-19	4768
2020-04-20	7209
2020-04-21	7471
2020-04-22	8196
2020-04-23	8778
2020-04-24	9335
2020-04-25	8410
2020-04-26	5821
2020-04-27	5000
2020-04-28	10863
2020-04-29	12213
2020-04-30	7362
2020-05-01	7737
2020-05-02	5379
2020-05-03	3104
2020-05-04	5241
2020-05-05	4594
2020-05-06	7241
2020-05-07	11324
2020-05-08	12562
2020-05-09	9182
2020-05-10	2847
2020-05-11	7572
2020-05-12	9146
2020-05-13	10613
2020-05-14	11728
2020-05-15	13827
2020-05-16	8200
2020-05-17	2792
2020-05-18	13330
2020-05-19	11351
2020-05-20	13766
2020-05-21	14407
2020-05-22	14608
2020-05-23	10365
2020-05-24	3312
2020-05-25	11036
2020-05-26	12692
2020-05-27	14293
2020-05-28	14648
2020-05-29	13972
2020-05-30	10124
2020-05-31	4663
2020-06-01	11352
2020-06-02	13336
2020-06-03	15311
2020-06-04	22397
2020-06-05	22479
2020-06-06	18850
2020-06-07	12175
2020-06-08	18802
2020-06-09	21585
2020-06-10	20592
2020-06-11	25793
2020-06-12	21042
2020-06-13	15405
2020-06-14	13502
2020-06-15	20284
2020-06-16	18545
2020-06-17	23137
2020-06-18	23428
2020-06-19	22900
2020-06-20	19974
2020-06-21	11637
2020-06-22	16675
2020-06-23	17513
2020-06-24	17364
2020-06-25	20875
2020-06-26	21201
2020-06-27	15911
2020-06-28	10975
2020-06-29	15857
2020-06-30	16966
2020-07-01	16426
2020-07-02	18221
2020-07-03	19532
2020-07-04	17036
2020-07-05	11047
2020-07-06	13857
2020-07-07	14737
2020-07-08	17801
2020-07-09	19586
2020-07-10	18709
2020-07-11	14856
2020-07-12	9621
2020-07-13	13195
2020-07-14	15676
2020-07-15	14581
2020-07-16	17019
2020-07-17	15719
2020-07-18	13272
2020-07-19	8646
2020-07-20	14391
2020-07-21	14962
2020-07-22	18348
2020-07-23	17016
2020-07-24	16894
2020-07-25	13211
2020-07-26	9770
2020-07-27	10801
2020-07-28	12971
2020-07-29	15357
2020-07-30	17047
2020-07-31	19541
2020-08-01	14461
2020-08-02	9244
2020-08-03	9814
2020-08-04	14460
2020-08-05	18133
2020-08-06	18053
2020-08-07	17178
2020-08-08	13698
2020-08-09	8963
2020-08-10	12050
2020-08-11	14647
2020-08-12	17307
2020-08-13	17097
2020-08-14	19324
2020-08-15	15918
2020-08-16	8027
2020-08-17	13453
2020-08-18	16941
2020-08-19	20436
2020-08-20	20599
2020-08-21	20648
2020-08-22	15681
2020-08-23	10863
2020-08-24	15711
2020-08-25	18795
2020-08-26	21334
2020-08-27	21767
