"DATE"	"HOSPITALIZED.today"
2020-03-03	NA
2020-03-04	NA
2020-03-05	NA
2020-03-06	NA
2020-03-07	NA
2020-03-08	NA
2020-03-09	NA
2020-03-10	NA
2020-03-11	NA
2020-03-12	NA
2020-03-13	NA
2020-03-14	NA
2020-03-15	NA
2020-03-16	NA
2020-03-17	NA
2020-03-18	NA
2020-03-19	NA
2020-03-20	NA
2020-03-21	NA
2020-03-22	NA
2020-03-23	NA
2020-03-24	NA
2020-03-25	NA
2020-03-26	NA
2020-03-27	NA
2020-03-28	NA
2020-03-29	NA
2020-03-30	NA
2020-03-31	NA
2020-04-01	NA
2020-04-02	NA
2020-04-03	17
2020-04-04	31
2020-04-05	19
2020-04-06	17
2020-04-07	13
2020-04-08	8
2020-04-09	39
2020-04-10	88
2020-04-11	95
2020-04-12	701
2020-04-13	372
2020-04-14	84
2020-04-15	279
2020-04-16	1129
2020-04-17	396
2020-04-18	371
2020-04-19	176
2020-04-20	237
2020-04-21	494
2020-04-22	517
2020-04-23	323
2020-04-24	616
2020-04-25	385
2020-04-26	522
2020-04-27	NA
2020-04-28	446
2020-04-29	385
2020-04-30	374
2020-05-01	344
2020-05-02	580
2020-05-03	113
2020-05-04	1038
2020-05-05	297
2020-05-06	759
2020-05-07	544
2020-05-08	772
2020-05-09	564
2020-05-10	694
2020-05-11	580
2020-05-12	578
2020-05-13	1056
2020-05-14	543
2020-05-15	711
2020-05-16	581
2020-05-17	196
2020-05-18	903
2020-05-19	616
2020-05-20	772
2020-05-21	1140
2020-05-22	366
2020-05-23	878
2020-05-24	696
2020-05-25	545
2020-05-26	701
2020-05-27	754
2020-05-28	190
2020-05-29	769
2020-05-30	919
2020-05-31	744
2020-06-01	565
2020-06-02	744
2020-06-03	674
2020-06-04	775
2020-06-05	655
2020-06-06	785
2020-06-07	599
2020-06-08	454
2020-06-09	1029
2020-06-10	718
2020-06-11	612
2020-06-12	661
2020-06-13	759
2020-06-14	519
2020-06-15	489
2020-06-16	693
2020-06-17	473
2020-06-18	769
2020-06-19	569
2020-06-20	457
2020-06-21	414
2020-06-22	189
2020-06-23	550
2020-06-24	163
2020-06-25	358
2020-06-26	446
2020-06-27	525
2020-06-28	358
2020-06-29	216
2020-06-30	375
2020-07-01	356
2020-07-02	242
2020-07-03	298
2020-07-04	314
2020-07-05	218
2020-07-06	223
2020-07-07	239
2020-07-08	250
2020-07-09	293
2020-07-10	180
2020-07-11	237
2020-07-12	240
2020-07-13	127
2020-07-14	236
2020-07-15	152
2020-07-16	218
2020-07-17	212
2020-07-18	258
2020-07-19	238
2020-07-20	168
2020-07-21	204
2020-07-22	280
2020-07-23	256
2020-07-24	186
2020-07-25	216
2020-07-26	172
2020-07-27	135
2020-07-28	NA
2020-07-29	205
2020-07-30	219
2020-07-31	194
2020-08-01	225
2020-08-02	153
2020-08-03	125
2020-08-04	233
2020-08-05	214
2020-08-06	224
2020-08-07	205
2020-08-08	242
2020-08-09	124
2020-08-10	77
2020-08-11	246
2020-08-12	208
2020-08-13	186
2020-08-14	226
2020-08-15	225
2020-08-16	161
2020-08-17	131
2020-08-18	186
2020-08-19	181
2020-08-20	240
2020-08-21	164
2020-08-22	201
2020-08-23	115
2020-08-24	109
2020-08-25	182
2020-08-26	217
2020-08-27	173
2020-08-28	172
2020-08-29	138
2020-08-30	128
2020-08-31	84
2020-09-01	215
2020-09-02	205
2020-09-03	201
2020-09-04	180
2020-09-05	245
2020-09-06	160
2020-09-07	129
2020-09-08	237
2020-09-09	243
2020-09-10	200
2020-09-11	231
2020-09-12	233
2020-09-13	185
2020-09-14	157
2020-09-15	180
2020-09-16	269
2020-09-17	257
2020-09-18	213
2020-09-19	281
2020-09-20	207
2020-09-21	176
2020-09-22	287
2020-09-23	299
2020-09-24	262
2020-09-25	303
2020-09-26	292
2020-09-27	232
2020-09-28	232
2020-09-29	308
2020-09-30	356
2020-10-01	330
2020-10-02	353
2020-10-03	398
2020-10-04	258
2020-10-05	217
2020-10-06	375
2020-10-07	432
2020-10-08	358
2020-10-09	386
2020-10-10	404
2020-10-11	410
2020-10-12	244
2020-10-13	269
2020-10-14	501
2020-10-15	388
2020-10-16	430
2020-10-17	417
2020-10-18	454
2020-10-19	332
2020-10-20	316
2020-10-21	564
2020-10-22	473
2020-10-23	475
2020-10-24	483
2020-10-25	546
2020-10-26	395
2020-10-27	354
2020-10-28	642
2020-10-29	625
2020-10-30	620
2020-10-31	618
2020-11-01	639
2020-11-02	451
2020-11-03	487
2020-11-04	707
2020-11-05	658
2020-11-06	682
2020-11-07	807
2020-11-08	806
2020-11-09	652
2020-11-10	556
2020-11-11	769
2020-11-12	790
2020-11-13	854
2020-11-14	840
2020-11-15	823
2020-11-16	570
2020-11-17	520
2020-11-18	825
2020-11-19	790
2020-11-20	783
2020-11-21	799
2020-11-22	737
2020-11-23	593
2020-11-24	566
2020-11-25	917
2020-11-26	826
2020-11-27	826
2020-11-28	884
2020-11-29	874
2020-11-30	567
2020-12-01	597
2020-12-02	896
2020-12-03	827
2020-12-04	817
2020-12-05	823
2020-12-06	859
2020-12-07	703
2020-12-08	612
2020-12-09	933
2020-12-10	850
2020-12-11	881
2020-12-12	893
2020-12-13	886
2020-12-14	736
2020-12-15	649
2020-12-16	1033
2020-12-17	966
2020-12-18	979
2020-12-19	913
2020-12-20	893
2020-12-21	751
2020-12-22	632
2020-12-23	974
2020-12-24	903
2020-12-25	1028
2020-12-26	936
2020-12-27	916
2020-12-28	773
2020-12-29	694
2020-12-30	851
2020-12-31	881
2021-01-01	869
2021-01-02	638
2021-01-03	570
2021-01-04	690
2021-01-05	717
2021-01-06	792
2021-01-07	794
2021-01-08	799
2021-01-09	725
2021-01-10	698
2021-01-11	670
2021-01-12	596
2021-01-13	823
2021-01-14	785
2021-01-15	750
2021-01-16	718
2021-01-17	710
2021-01-18	493
2021-01-19	463
2021-01-20	676
2021-01-21	565
2021-01-22	607
2021-01-23	611
2021-01-24	489
2021-01-25	373
2021-01-26	415
2021-01-27	593
2021-01-28	521
2021-01-29	610
2021-01-30	498
2021-01-31	546
2021-02-01	335
2021-02-02	343
2021-02-03	549
2021-02-04	491
2021-02-05	436
2021-02-06	421
2021-02-07	384
2021-02-08	260
2021-02-09	251
2021-02-10	376
2021-02-11	346
2021-02-12	401
2021-02-13	381
2021-02-14	350
2021-02-15	280
2021-02-16	257
2021-02-17	404
2021-02-18	384
2021-02-19	443
2021-02-20	365
2021-02-21	412
2021-02-22	405
2021-02-23	265
2021-02-24	245
2021-02-25	259
2021-02-26	430
2021-02-27	427
2021-02-28	432
2021-03-01	259
2021-03-02	265
2021-03-03	420
2021-03-04	333
2021-03-05	378
2021-03-06	436
2021-03-07	357
2021-03-08	248
2021-03-09	191
2021-03-10	231
2021-03-11	352
2021-03-12	369
2021-03-13	344
2021-03-14	374
2021-03-15	226
2021-03-16	253
2021-03-17	337
2021-03-18	363
2021-03-19	308
2021-03-20	362
2021-03-21	327
2021-03-22	226
2021-03-23	224
2021-03-24	327
2021-03-25	308
2021-03-26	313
2021-03-27	334
2021-03-28	323
2021-03-29	197
2021-03-30	221
2021-03-31	363
2021-04-01	333
2021-04-02	324
2021-04-03	323
2021-04-04	343
2021-04-05	205
2021-04-06	259
2021-04-07	342
2021-04-08	298
2021-04-09	287
2021-04-10	299
2021-04-11	328
2021-04-12	199
2021-04-13	188
2021-04-14	274
2021-04-15	299
2021-04-16	292
2021-04-17	291
2021-04-18	317
2021-04-19	213
2021-04-20	186
2021-04-21	299
2021-04-22	292
2021-04-23	281
2021-04-24	305
2021-04-25	333
2021-04-26	204
2021-04-27	188
