"DATE"	"i"	"r"	"o"	"os"	"h"	"v1.CS"	"v2.CS"
"2020-12-08"	4402	3239	62055	6385	NA	NA	NA
"2020-12-09"	5144	2451	63410	6311	NA	NA	NA
"2020-12-10"	4592	2380	65473	6599	NA	NA	NA
"2020-12-11"	4247	2369	66625	6487	NA	NA	NA
"2020-12-12"	1338	2151	67726	6490	NA	NA	NA
"2020-12-13"	1418	909	NA	NA	NA	NA	NA
"2020-12-14"	4459	1252	68453	6672	NA	NA	NA
"2020-12-15"	4106	3168	69329	6803	1025	NA	NA
"2020-12-16"	4371	3066	68725	6800	966	NA	NA
"2020-12-17"	4636	3050	71724	6789	979	NA	NA
"2020-12-18"	4025	3025	70501	5146	913	NA	NA
"2020-12-19"	1005	2326	71270	5047	NA	674	NA
"2020-12-20"	962	668	NA	NA	NA	1035	NA
"2020-12-21"	4178	1596	71890	5173	632	1545	NA
"2020-12-22"	3505	2617	72255	5286	974	2171	NA
"2020-12-23"	4733	2653	73000	5137	903	3028	204
"2020-12-24"	4158	3034	73828	4942	1028	3879	NA
"2020-12-25"	3904	3906	73536	4857	936	4180	NA
"2020-12-26"	3492	3128	73849	4895	916	4268	NA
"2020-12-27"	NA	NA	NA	NA	NA	4898	NA
"2020-12-28"	3845	2109	74223	4875	694	5757	NA
"2020-12-29"	4298	4278	73667	4805	862	5870	NA
"2020-12-30"	NA	NA	NA	NA	NA	5927	NA
"2020-12-31"	1554	3058	73082	4470	869	5942	NA
"2021-01-01"	888	945	73087	4475	638	6066	262
"2021-01-02"	1579	906	72977	4475	570	6269	262
"2021-01-03"	1797	1624	NA	NA	NA	7014	262
"2021-01-04"	2195	1729	72944	4658	717	8067	262
"2021-01-05"	1581	1788	72778	4697	792	9347	269
"2021-01-06"	2140	1836	72540	4775	794	10127	269
"2021-01-07"	1163	1756	72286	4913	799	11597	344
"2021-01-08"	2033	1641	71890	4848	725	13007	384
"2021-01-09"	2141	2686	72576	4880	698	13692	384
"2021-01-10"	1505	1873	NA	NA	NA	15352	630
"2021-01-11"	3609	1258	71218	4831	596	17025	1099
"2021-01-12"	4205	3425	70619	4669	823	18477	1795
"2021-01-13"	4011	3551	70372	4603	785	19885	2592
"2021-01-14"	3274	3915	69804	4558	750	21872	3475
"2021-01-15"	3636	3625	69002	4405	718	22349	3913
"2021-01-16"	1233	3072	68602	4479	710	22489	3967
"2021-01-17"	1095	1138	NA	NA	493	24817	4537
"2021-01-18"	2903	2259	67803	4556	463	27499	4986
"2021-01-19"	4006	2885	67493	4470	676	30159	5367
"2021-01-20"	3400	4194	66752	4445	565	32453	5590
"2021-01-21"	3195	4696	65212	4339	607	35031	5643
"2021-01-22"	3052	4205	63731	4317	611	35920	5677
"2021-01-23"	725	2260	63362	4272	489	36225	5801
"2021-01-24"	436	899	NA	NA	373	39441	6687
"2021-01-25"	2928	2422	61971	4380	415	43542	7761
"2021-01-26"	2761	5795	58805	4344	593	49408	8860
"2021-01-27"	2621	4124	56869	4228	521	56068	9691
"2021-01-28"	2122	3628	55317	4219	610	61894	11150
"2021-01-29"	1314	3409	53910	4226	498	64812	12221
"2021-01-30"	992	1437	53427	3989	546	66060	12588
"2021-01-31"	926	1273	NA	NA	NA	72334	15027
"2021-02-01"	2792	1924	51729	4098	343	78954	16845
"2021-02-02"	2487	3627	50014	4057	549	86479	18280
"2021-02-03"	2154	3153	48975	4001	491	94463	19609
"2021-02-04"	1868	3012	48222	3889	436	102304	21417
"2021-02-05"	2466	2472	46796	3789	421	106894	21891
"2021-02-06"	1316	2339	46509	3806	384	109085	22007
"2021-02-07"	627	1090	NA	NA	260	117586	24310
"2021-02-08"	2416	3739	45604	3858	251	126473	27011
"2021-02-09"	1938	3589	44826	3829	376	135606	29481
"2021-02-10"	2149	3333	43134	3781	346	144493	31867
"2021-02-11"	2193	3446	41769	3884	401	153767	34256
"2021-02-12"	1539	2678	40165	3697	381	158563	35009
"2021-02-13"	473	1545	39477	3588	350	160626	35287
"2021-02-14"	313	1497	NA	NA	280	168745	38340
"2021-02-15"	1553	2931	38523	3551	257	178247	42424
"2021-02-16"	1268	2882	37437	3471	404	187661	47716
"2021-02-17"	1785	3234	36286	3362	384	196173	54324
"2021-02-18"	1874	3676	35004	3374	443	205343	59773
"2021-02-19"	1989	2696	34411	3406	365	213220	62708
"2021-02-20"	1349	2350	33710	3338	412	215407	64225
"2021-02-21"	320	1018	NA	NA	405	217384	68517
"2021-02-22"	568	1723	32993	3268	265	219125	72019
"2021-02-23"	324	1490	32681	3264	245	226188	80459
"2021-02-24"	1245	2301	32412	3395	259	234180	88772
"2021-02-25"	1372	1667	31209	3339	430	242383	97183
"2021-02-26"	1240	2538	30515	3303	427	245941	101345
"2021-02-27"	558	1228	29914	3329	432	246992	103545
"2021-02-28"	296	1320	NA	NA	259	253674	112254
"2021-03-01"	1642	2659	29106	3403	271	260505	120652
"2021-03-02"	1707	2635	28317	3467	420	267676	129439
"2021-03-03"	1292	2609	27331	3488	333	274018	137751
"2021-03-04"	1351	2591	26231	3404	378	280053	146886
"2021-03-05"	1251	2750	25300	3388	436	282668	151389
"2021-03-06"	375	1402	24674	3360	357	283625	153144
"2021-03-07"	377	1411	NA	NA	248	284395	155706
"2021-03-08"	285	1372	24279	3323	191	288855	167235
"2021-03-09"	1179	2749	24049	3374	231	294706	176918
"2021-03-10"	1063	2805	23526	3395	352	299771	185827
"2021-03-11"	1262	2861	22517	3341	369	305182	195382
"2021-03-12"	1362	2326	21664	3270	344	306878	200575
"2021-03-13"	307	841	21165	3257	374	307609	202069
