"TIME"	"i"	"r"	"d"	"a"
2020-02-01	0	0	0	0
2020-02-02	0	0	0	0
2020-02-03	0	0	0	0
2020-02-04	0	0	0	0
2020-02-05	0	0	0	0
2020-02-06	0	0	0	0
2020-02-07	0	0	0	0
2020-02-08	0	0	0	0
2020-02-09	0	0	0	0
2020-02-10	0	0	0	0
2020-02-11	0	0	0	0
2020-02-12	0	0	0	0
2020-02-13	0	0	0	0
2020-02-14	0	0	0	0
2020-02-15	0	0	0	0
2020-02-16	0	0	0	0
2020-02-17	0	0	0	0
2020-02-18	0	0	0	0
2020-02-19	0	0	0	0
2020-02-20	0	0	0	0
2020-02-21	0	0	0	0
2020-02-22	0	0	0	0
2020-02-23	0	0	0	0
2020-02-24	0	0	0	0
2020-02-25	0	0	0	0
2020-02-26	0	0	0	0
2020-02-27	0	0	0	0
2020-02-28	0	0	0	0
2020-02-29	0	0	0	0
2020-03-01	0	0	0	0
2020-03-02	0	0	0	0
2020-03-03	0	0	0	0
2020-03-04	1	0	0	1
2020-03-05	0	0	0	1
2020-03-06	1	0	0	2
2020-03-07	0	0	0	2
2020-03-08	0	0	0	2
2020-03-09	0	0	0	2
2020-03-10	0	0	0	2
2020-03-11	0	0	0	2
2020-03-12	3	0	0	5
2020-03-13	1	0	0	6
2020-03-14	0	0	0	6
2020-03-15	3	2	0	7
2020-03-16	0	0	0	7
2020-03-17	0	0	0	7
2020-03-18	1	0	0	8
2020-03-19	4	0	0	12
2020-03-20	2	0	0	14
2020-03-21	0	0	0	14
2020-03-22	0	0	0	14
2020-03-23	5	0	0	19
2020-03-24	0	0	0	19
2020-03-25	5	3	0	21
2020-03-26	0	0	0	21
2020-03-27	11	0	0	32
2020-03-28	5	0	1	36
2020-03-29	8	0	0	44
2020-03-30	48	2	1	89
2020-03-31	27	0	0	116
2020-04-01	22	0	0	138
2020-04-02	9	0	0	147
2020-04-03	15	0	0	162
2020-04-04	20	0	0	182
2020-04-05	35	25	0	192
2020-04-06	69	0	0	261
2020-04-07	34	0	0	295
2020-04-08	44	11	2	326
2020-04-09	35	0	0	361
2020-04-10	80	31	0	410
2020-04-11	69	0	0	479
2020-04-12	121	4	0	596
2020-04-13	121	0	0	717
2020-04-14	130	17	1	829
2020-04-15	154	15	2	966
2020-04-16	424	21	0	1369
2020-04-17	139	101	1	1406
2020-04-18	114	7	0	1513
2020-04-19	86	2	0	1597
2020-04-20	127	39	3	1682
2020-04-21	294	47	3	1926
2020-04-22	191	41	3	2073
2020-04-23	253	43	3	2280
2020-04-24	215	49	3	2443
2020-04-25	151	29	4	2561
2020-04-26	161	0	0	2722
2020-04-27	198	55	0	2865
2020-04-28	290	164	2	2989
2020-04-29	336	71	0	3254
2020-04-30	349	0	4	3599
2020-05-01	323	98	0	3824
2020-05-02	295	184	1	3934
2020-05-03	317	136	3	4112
2020-05-04	226	271	0	4067
2020-05-05	312	64	3	4312
2020-05-06	306	20	4	4594
2020-05-07	375	45	4	4920
2020-05-08	425	65	5	5275
2020-05-09	414	12	0	5677
2020-05-10	307	7	3	5974
2020-05-11	339	103	2	6208
2020-05-12	435	64	5	6574
2020-05-13	460	51	6	6977
2020-05-14	541	106	5	7407
2020-05-15	525	104	6	7822
2020-05-16	451	66	5	8202
2020-05-17	425	34	5	8588
2020-05-18	453	63	5	8973
2020-05-19	455	208	4	9216
2020-05-20	408	181	5	9438
2020-05-21	389	198	3	9626
2020-05-22	363	265	6	9718
2020-05-23	384	328	20	9754
2020-05-24	374	138	5	9985
2020-05-25	363	154	12	10182
2020-05-26	387	714	8	9847
2020-05-27	383	325	9	9896
2020-05-28	369	330	11	9924
2020-05-29	365	260	13	10016
2020-05-30	369	307	13	10065
2020-05-31	364	68	9	10352
2020-06-01	376	260	10	10458
2020-06-02	380	323	17	10498
2020-06-03	375	364	24	10485
2020-06-04	378	381	27	10455
2020-06-05	347	386	55	10361
2020-06-06	340	297	31	10373
2020-06-07	326	156	15	10528
2020-06-08	318	186	41	10619
2020-06-09	313	420	49	10463
2020-06-10	303	343	38	10385
2020-06-11	274	412	41	10206
2020-06-12	262	285	8	10175
2020-06-13	256	116	28	10287
2020-06-14	252	62	38	10439
2020-06-15	234	232	54	10387
2020-06-16	228	716	38	9861
2020-06-17	231	637	29	9426
2020-06-18	228	847	37	8770
2020-06-19	232	794	21	8187
2020-06-20	229	498	26	7892
2020-06-21	217	184	29	7896
2020-06-22	220	221	35	7860
2020-06-23	218	643	38	7397
2020-06-24	221	589	19	7010
2020-06-25	223	395	47	6791
2020-06-26	224	716	57	6242
