DATE	Yandex.ACTIVITY.points
2020-02-17	95
2020-02-18	98
2020-02-19	99
2020-02-20	100
2020-02-21	100
2020-02-22	51
2020-02-23	40
2020-02-24	38
2020-02-25	99
2020-02-26	98
2020-02-27	99
2020-02-28	98
2020-02-29	54
2020-03-01	36
2020-03-02	97
2020-03-03	100
2020-03-04	99
2020-03-05	99
2020-03-06	100
2020-03-07	55
2020-03-08	43
2020-03-09	43
2020-03-10	99
2020-03-11	99
2020-03-12	98
2020-03-13	96
2020-03-14	53
2020-03-15	38
2020-03-16	92
2020-03-17	93
2020-03-18	87
2020-03-19	85
2020-03-20	84
2020-03-21	43
2020-03-22	32
2020-03-23	81
2020-03-24	81
2020-03-25	81
2020-03-26	79
2020-03-27	80
2020-03-28	26
2020-03-29	9
2020-03-30	26
2020-03-31	19
2020-04-01	13
2020-04-02	12
2020-04-03	15
2020-04-04	4
2020-04-05	0
2020-04-06	28
2020-04-07	32
2020-04-08	32
2020-04-09	30
2020-04-10	33
2020-04-11	13
2020-04-12	3
2020-04-13	34
2020-04-14	34
2020-04-15	35
2020-04-16	34
2020-04-17	35
2020-04-18	12
2020-04-19	4
2020-04-20	35
2020-04-21	38
2020-04-22	38
2020-04-23	38
2020-04-24	38
2020-04-25	19
2020-04-26	10
2020-04-27	41
2020-04-28	42
2020-04-29	41
2020-04-30	46
2020-05-01	23
2020-05-02	24
2020-05-03	13
2020-05-04	26
2020-05-05	29
2020-05-06	49
2020-05-07	46
2020-05-08	48
2020-05-09	22
2020-05-10	23
2020-05-11	27
2020-05-12	51
2020-05-13	53
2020-05-14	52
2020-05-15	52
2020-05-16	26
2020-05-17	20
2020-05-18	53
2020-05-19	57
2020-05-20	56
2020-05-21	53
2020-05-22	58
2020-05-23	36
2020-05-24	29
2020-05-25	64
2020-05-26	67
2020-05-27	67
2020-05-28	64
2020-05-29	67
2020-05-30	41
2020-05-31	28
2020-06-01	69
2020-06-02	72
2020-06-03	71
2020-06-04	66
2020-06-05	69
2020-06-06	38
2020-06-07	37
2020-06-08	74
2020-06-09	76
2020-06-10	76
2020-06-11	75
2020-06-12	49
2020-06-13	47
2020-06-14	41
2020-06-15	81
2020-06-16	81
2020-06-17	82
2020-06-18	83
2020-06-19	82
