"REGION"	"LOSS.01"	"START.DATE.LOSS.01"	"END.DATE.LOSS.01"	"COUNT.LOSS.01"	"SHARE.LOSS.01"	"LOSS.02"	"START.DATE.LOSS.02"	"END.DATE.LOSS.02"	"COUNT.LOSS.02"	"SHARE.LOSS.02"	"SATURATION"	"START.DATE.SATURATION"	"END.DATE.SATURATION"	"COUNT.SATURATION"	"SHARE.SATURATION"
"St. Petersburg"	"пропало обоняние"	"07.10.2019"	"13.10.2019"	78	6.38747e-07	"потеря обоняния"	"07.10.2019"	"13.10.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"14.10.2019"	"20.10.2019"	90	7.21301e-07	"потеря обоняния"	"14.10.2019"	"20.10.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"21.10.2019"	"27.10.2019"	58	4.62574e-07	"потеря обоняния"	"21.10.2019"	"27.10.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"28.10.2019"	"03.11.2019"	80	6.72196e-07	"потеря обоняния"	"28.10.2019"	"03.11.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"04.11.2019"	"10.11.2019"	67	5.46555e-07	"потеря обоняния"	"04.11.2019"	"10.11.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"11.11.2019"	"17.11.2019"	86	6.68274e-07	"потеря обоняния"	"11.11.2019"	"17.11.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"18.11.2019"	"24.11.2019"	67	5.09911e-07	"потеря обоняния"	"18.11.2019"	"24.11.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"25.11.2019"	"01.12.2019"	66	4.99607e-07	"потеря обоняния"	"25.11.2019"	"01.12.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"02.12.2019"	"08.12.2019"	79	6.06839e-07	"потеря обоняния"	"02.12.2019"	"08.12.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"09.12.2019"	"15.12.2019"	117	9.04865e-07	"потеря обоняния"	"09.12.2019"	"15.12.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"16.12.2019"	"22.12.2019"	70	5.38649e-07	"потеря обоняния"	"16.12.2019"	"22.12.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"23.12.2019"	"29.12.2019"	77	6.4881e-07	"потеря обоняния"	"23.12.2019"	"29.12.2019"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"30.12.2019"	"05.01.2020"	90	9.11328e-07	"потеря обоняния"	"30.12.2019"	"05.01.2020"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"06.01.2020"	"12.01.2020"	98	8.29166e-07	"потеря обоняния"	"06.01.2020"	"12.01.2020"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"13.01.2020"	"19.01.2020"	101	7.44026e-07	"потеря обоняния"	"13.01.2020"	"19.01.2020"	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	"20.01.2020"	"26.01.2020"	89	6.64807e-07	"потеря обоняния"	"20.01.2020"	"26.01.2020"	NA	NA	"сатурация"	NA	NA	NA	NA
