REGION	LOSS.01	START.DATE.LOSS.01	END.DATE.LOSS.01	COUNT.LOSS.01	SHARE.LOSS.01	LOSS.02	START.DATE.LOSS.02	END.DATE.LOSS.02	COUNT.LOSS.02	SHARE.LOSS.02	SATURATION	START.DATE.SATURATION	END.DATE.SATURATION	COUNT.SATURATION	SHARE.SATURATION
"St. Petersburg"	"пропало обоняние"	07.10.2019	13.10.2019	78	0.000000638747	"потеря обоняния"	07.10.2019	13.10.2019	NA	NA	"сатурация"	NA	NA	NA	NA
"St. Petersburg"	"пропало обоняние"	14.10.2019	20.10.2019	90	0.000000721301	"потеря обоняния"	14.10.2019	20.10.2019	NA	NA	"сатурация"	14.10.2019	20.10.2019	230	0.000001843325
"St. Petersburg"	"пропало обоняние"	21.10.2019	27.10.2019	58	0.000000462574	"потеря обоняния"	21.10.2019	27.10.2019	NA	NA	"сатурация"	21.10.2019	27.10.2019	261	0.000002081585
"St. Petersburg"	"пропало обоняние"	28.10.2019	03.11.2019	80	0.000000672196	"потеря обоняния"	28.10.2019	03.11.2019	NA	NA	"сатурация"	28.10.2019	03.11.2019	496	0.000004167614
"St. Petersburg"	"пропало обоняние"	04.11.2019	10.11.2019	67	0.000000546555	"потеря обоняния"	04.11.2019	10.11.2019	NA	NA	"сатурация"	04.11.2019	10.11.2019	791	0.000006452612
"St. Petersburg"	"пропало обоняние"	11.11.2019	17.11.2019	86	0.000000668274	"потеря обоняния"	11.11.2019	17.11.2019	NA	NA	"сатурация"	11.11.2019	17.11.2019	427	0.000003318056
"St. Petersburg"	"пропало обоняние"	18.11.2019	24.11.2019	67	0.000000509911	"потеря обоняния"	18.11.2019	24.11.2019	NA	NA	"сатурация"	18.11.2019	24.11.2019	256	0.000001948318
"St. Petersburg"	"пропало обоняние"	25.11.2019	01.12.2019	66	0.000000499607	"потеря обоняния"	25.11.2019	01.12.2019	NA	NA	"сатурация"	25.11.2019	01.12.2019	297	0.00000224823
"St. Petersburg"	"пропало обоняние"	02.12.2019	08.12.2019	79	0.000000606839	"потеря обоняния"	02.12.2019	08.12.2019	NA	NA	"сатурация"	02.12.2019	08.12.2019	308	0.000002365903
"St. Petersburg"	"пропало обоняние"	09.12.2019	15.12.2019	117	0.000000904865	"потеря обоняния"	09.12.2019	15.12.2019	NA	NA	"сатурация"	09.12.2019	15.12.2019	316	0.000002443909
"St. Petersburg"	"пропало обоняние"	16.12.2019	22.12.2019	70	0.000000538649	"потеря обоняния"	16.12.2019	22.12.2019	NA	NA	"сатурация"	16.12.2019	22.12.2019	327	0.000002516261
"St. Petersburg"	"пропало обоняние"	23.12.2019	29.12.2019	77	0.00000064881	"потеря обоняния"	23.12.2019	29.12.2019	NA	NA	"сатурация"	23.12.2019	29.12.2019	236	0.00000198856
"St. Petersburg"	"пропало обоняние"	30.12.2019	05.01.2020	90	0.000000911328	"потеря обоняния"	30.12.2019	05.01.2020	NA	NA	"сатурация"	30.12.2019	05.01.2020	184	0.00000186316
"St. Petersburg"	"пропало обоняние"	06.01.2020	12.01.2020	98	0.000000829166	"потеря обоняния"	06.01.2020	12.01.2020	NA	NA	"сатурация"	06.01.2020	12.01.2020	239	0.000002022149
"St. Petersburg"	"пропало обоняние"	13.01.2020	19.01.2020	101	0.000000744026	"потеря обоняния"	13.01.2020	19.01.2020	NA	NA	"сатурация"	13.01.2020	19.01.2020	345	0.000002541473
"St. Petersburg"	"пропало обоняние"	20.01.2020	26.01.2020	89	0.000000664807	"потеря обоняния"	20.01.2020	26.01.2020	NA	NA	"сатурация"	20.01.2020	26.01.2020	337	0.000002517301
"St. Petersburg"	"пропало обоняние"	27.01.2020	02.02.2020	101	0.000000763949	"потеря обоняния"	27.01.2020	02.02.2020	NA	NA	"сатурация"	27.01.2020	02.02.2020	265	0.000002004421
"St. Petersburg"	"пропало обоняние"	03.02.2020	09.02.2020	104	0.000000768018	"потеря обоняния"	03.02.2020	09.02.2020	NA	NA	"сатурация"	03.02.2020	09.02.2020	315	0.000002326207
"St. Petersburg"	"пропало обоняние"	10.02.2020	16.02.2020	145	0.000001036023	"потеря обоняния"	10.02.2020	16.02.2020	NA	NA	"сатурация"	10.02.2020	16.02.2020	312	0.000002229235
"St. Petersburg"	"пропало обоняние"	17.02.2020	23.02.2020	94	0.000000715067	"потеря обоняния"	17.02.2020	23.02.2020	NA	NA	"сатурация"	17.02.2020	23.02.2020	324	0.000002464698
"St. Petersburg"	"пропало обоняние"	24.02.2020	01.03.2020	118	0.000000907056	"потеря обоняния"	24.02.2020	01.03.2020	NA	NA	"сатурация"	24.02.2020	01.03.2020	308	0.000002367569
"St. Petersburg"	"пропало обоняние"	02.03.2020	08.03.2020	101	0.000000787608	"потеря обоняния"	02.03.2020	08.03.2020	NA	NA	"сатурация"	02.03.2020	08.03.2020	317	0.000002471997
"St. Petersburg"	"пропало обоняние"	09.03.2020	15.03.2020	148	0.000001116328	"потеря обоняния"	09.03.2020	15.03.2020	NA	NA	"сатурация"	09.03.2020	15.03.2020	363	0.00000273802
"St. Petersburg"	"пропало обоняние"	16.03.2020	22.03.2020	133	0.000001009149	"потеря обоняния"	16.03.2020	22.03.2020	NA	NA	"сатурация"	16.03.2020	22.03.2020	965	0.000007322018
"St. Petersburg"	"пропало обоняние"	23.03.2020	29.03.2020	220	0.000001741538	"потеря обоняния"	23.03.2020	29.03.2020	NA	NA	"сатурация"	23.03.2020	29.03.2020	1755	0.000013892726
"St. Petersburg"	"пропало обоняние"	30.03.2020	05.04.2020	329	0.000002538649	"потеря обоняния"	30.03.2020	05.04.2020	NA	NA	"сатурация"	30.03.2020	05.04.2020	1192	0.000009197778
